"Местное время в Толмачёво / им. А. И. Покрышкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"26.11.2018 22:30";"-8.0";"754.0";"764.3";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 600 м, кучево-дождевые облака";"3.1";"-10.0";
"26.11.2018 22:00";"-8.0";"754.7";"765.0";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 600 м, кучево-дождевые облака";"3.6";"-10.0";
"26.11.2018 21:30";"-8.0";"754.7";"765.0";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 750 м, кучево-дождевые облака";"2.3";"-10.0";
"26.11.2018 21:00";"-8.0";"754.7";"765.0";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 750 м, кучево-дождевые облака";"4.3";"-10.0";
"26.11.2018 20:30";"-8.0";"754.7";"765.0";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 750 м, кучево-дождевые облака";"2.9";"-10.0";
"26.11.2018 20:00";"-8.0";"755.5";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 750 м, кучево-дождевые облака";"3.5";"-10.0";
"26.11.2018 19:30";"-8.0";"755.5";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 750 м, кучево-дождевые облака";"2.8";"-10.0";
"26.11.2018 19:00";"-8.0";"755.5";"765.8";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 690 м, кучево-дождевые облака";"2.6";"-10.0";
"26.11.2018 18:30";"-9.0";"756.3";"766.6";"93";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 630 м, кучево-дождевые облака";"2.5";"-10.0";
"26.11.2018 18:00";"-9.0";"756.3";"766.6";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"5.0";"-11.0";
"26.11.2018 17:30";"-9.0";"756.3";"766.6";"86";"Ветер, дующий с юго-юго-востока";"3";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 900 м, кучево-дождевые облака";"9.0";"-11.0";
"26.11.2018 17:00";"-8.0";"756.3";"766.6";"73";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 1020 м";"10.0 и более";"-12.0";
"26.11.2018 16:30";"-8.0";"757.0";"767.3";"79";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1170 м";"9.0";"-11.0";
"26.11.2018 16:00";"-8.0";"757.0";"767.3";"79";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1080 м";"4.4";"-11.0";
"26.11.2018 15:30";"-8.0";"757.0";"767.3";"73";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"-12.0";
"26.11.2018 15:00";"-8.0";"757.0";"767.3";"73";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-12.0";
"26.11.2018 14:30";"-8.0";"757.0";"767.3";"73";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-12.0";
"26.11.2018 14:00";"-9.0";"757.0";"767.3";"79";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Нет существенной облачности";"9.0";"-12.0";
"26.11.2018 13:30";"-9.0";"757.0";"767.3";"79";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1410 м";"9.0";"-12.0";
"26.11.2018 13:00";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1050 м";"8.0";"-12.0";
"26.11.2018 12:30";"-9.0";"757.7";"768.1";"86";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1110 м";"3.7";"-11.0";
"26.11.2018 12:00";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1110 м";"6.0";"-12.0";
"26.11.2018 11:30";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1110 м";"7.0";"-12.0";
"26.11.2018 11:00";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1140 м";"7.0";"-12.0";
"26.11.2018 10:30";"-9.0";"757.7";"768.1";"86";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1050 м";"4.9";"-11.0";
"26.11.2018 10:00";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 990 м";"9.0";"-12.0";
"26.11.2018 09:30";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 990 м";"9.0";"-12.0";
"26.11.2018 09:00";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 990 м";"9.0";"-12.0";
"26.11.2018 08:30";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 990 м";"9.0";"-12.0";
"26.11.2018 08:00";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1050 м";"9.0";"-12.0";
"26.11.2018 07:30";"-9.0";"757.7";"768.1";"79";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1080 м";"9.0";"-12.0";
"26.11.2018 07:00";"-10.0";"757.7";"768.1";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1170 м";"4.5";"-12.0";
"26.11.2018 06:30";"-10.0";"756.9";"767.3";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 840 м";"6.0";"-12.0";
"26.11.2018 06:00";"-11.0";"756.9";"767.3";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 840 м";"5.0";"-13.0";
"26.11.2018 05:30";"-11.0";"756.9";"767.3";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 840 м";"8.0";"-13.0";
"26.11.2018 05:00";"-11.0";"756.9";"767.3";"85";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1080 м";"5.0";"-13.0";
"26.11.2018 04:30";"-11.0";"756.2";"766.6";"85";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1080 м";"7.0";"-13.0";
"26.11.2018 04:00";"-11.0";"756.2";"766.6";"85";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"9.0";"-13.0";
"26.11.2018 03:30";"-10.0";"756.2";"766.6";"79";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"8.0";"-13.0";
"26.11.2018 03:00";"-10.0";"756.2";"766.6";"85";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"7.0";"-12.0";
"26.11.2018 02:30";"-10.0";"755.4";"765.8";"85";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 690 м";"2.5";"-12.0";
"26.11.2018 02:00";"-10.0";"755.4";"765.8";"79";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 600 м";"9.0";"-13.0";
"26.11.2018 01:30";"-11.0";"755.4";"765.8";"85";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 660 м";"4.1";"-13.0";
"26.11.2018 01:00";"-11.0";"755.4";"765.8";"85";"Ветер, дующий с юго-юго-запада";"3";"";"Снег";"";"Сплошная (100%) 570 м";"1.9";"-13.0";
"26.11.2018 00:30";"-11.0";"755.4";"765.8";"79";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 720 м";"3.2";"-14.0";
"26.11.2018 00:00";"-11.0";"755.4";"765.8";"79";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-14.0";
"25.11.2018 23:30";"-11.0";"755.4";"765.8";"79";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-14.0";
"25.11.2018 23:00";"-12.0";"755.4";"765.8";"79";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 960 м";"10.0 и более";"-15.0";
"25.11.2018 22:30";"-12.0";"754.6";"765.0";"79";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 960 м";"10.0 и более";"-15.0";
"25.11.2018 22:00";"-13.0";"754.5";"765.0";"78";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-16.0";
"25.11.2018 21:30";"-13.0";"754.5";"765.0";"78";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-16.0";
"25.11.2018 21:00";"-13.0";"753.8";"764.3";"78";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-16.0";
"25.11.2018 20:30";"-13.0";"753.8";"764.3";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 570 м";"9.0";"-15.0";
"25.11.2018 20:00";"-13.0";"753.8";"764.3";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-15.0";
"25.11.2018 19:30";"-13.0";"753.0";"763.5";"85";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-15.0";
"25.11.2018 19:00";"-13.0";"753.0";"763.5";"85";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 1230 м";"10.0 и более";"-15.0";
"25.11.2018 18:30";"-13.0";"753.0";"763.5";"85";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1230 м";"10.0 и более";"-15.0";
"25.11.2018 18:00";"-13.0";"752.4";"762.8";"85";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 1230 м";"10.0 и более";"-15.0";
"25.11.2018 17:30";"-12.0";"752.4";"762.8";"79";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-15.0";
"25.11.2018 17:00";"-12.0";"752.4";"762.8";"79";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-15.0";
"25.11.2018 16:30";"-12.0";"752.4";"762.8";"72";"Ветер, дующий с юго-запада";"3";"";"";"";"Разорванная (60-90%) 900 м";"8.0";"-16.0";
"25.11.2018 16:00";"-13.0";"751.6";"762.0";"78";"Ветер, дующий с юго-запада";"3";"";"";"";"Разорванная (60-90%) 900 м";"8.0";"-16.0";
"25.11.2018 15:30";"-13.0";"751.6";"762.0";"78";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 870 м";"9.0";"-16.0";
"25.11.2018 15:00";"-13.0";"751.6";"762.0";"72";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 870 м";"10.0 и более";"-17.0";
"25.11.2018 14:30";"-13.0";"750.8";"761.2";"72";"Ветер, дующий с юго-запада";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-17.0";
"25.11.2018 14:00";"-13.0";"750.8";"761.2";"72";"Ветер, дующий с юго-запада";"6";"";"Поземок, снег";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-17.0";
"25.11.2018 13:30";"-13.0";"750.8";"761.2";"72";"Ветер, дующий с юго-запада";"7";"";"Поземок, снег";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-17.0";
"25.11.2018 13:00";"-13.0";"750.8";"761.2";"72";"Ветер, дующий с юго-запада";"8";"";"Поземок, снег";"";"Незначительная (10-30%) 990 м";"9.0";"-17.0";
"25.11.2018 12:30";"-14.0";"750.7";"761.2";"78";"Ветер, дующий с западо-юго-запада";"9";"";"Поземок, снег";"";"Незначительная (10-30%) 990 м";"9.0";"-17.0";
"25.11.2018 12:00";"-14.0";"750.0";"760.5";"72";"Ветер, дующий с западо-юго-запада";"11";"";"Поземок, снег";"";"Незначительная (10-30%) 990 м";"7.0";"-18.0";
"25.11.2018 11:30";"-15.0";"749.2";"759.7";"72";"Ветер, дующий с западо-юго-запада";"11";"";"Низовая (метель, буря) снег";"";"Незначительная (10-30%) 990 м";"8.0";"-19.0";
"25.11.2018 11:00";"-15.0";"749.2";"759.7";"72";"Ветер, дующий с западо-юго-запада";"12";"";"Низовая (метель, буря) снег";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"6.0";"-19.0";
"25.11.2018 10:30";"-15.0";"748.5";"759.0";"78";"Ветер, дующий с западо-юго-запада";"12";"";"Низовая (метель, буря) снег";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"3.2";"-18.0";
"25.11.2018 10:00";"-15.0";"747.7";"758.2";"78";"Ветер, дующий с западо-юго-запада";"12";"";"Низовая (метель, буря) снег";"";"Разорванная (60-90%) 1170 м, кучево-дождевые облака";"3.9";"-18.0";
"25.11.2018 09:30";"-14.0";"747.3";"757.7";"72";"Ветер, дующий с западо-юго-запада";"13";"";"Слабый(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Рассеянная (40-50%) 480 м, сплошная (100%) 1380 м, кучево-дождевые облака";"2.4";"-18.0";
"25.11.2018 09:00";"-13.0";"747.3";"757.7";"78";"Ветер, дующий с западо-юго-запада";"11";"16";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Рассеянная (40-50%) 480 м, сплошная (100%) 1200 м, кучево-дождевые облака";"2.8";"-16.0";
"25.11.2018 08:30";"-12.0";"746.6";"756.9";"85";"Ветер, дующий с западо-юго-запада";"13";"18";"Низовая (метель, буря) снег";"";"Рассеянная (40-50%) 480 м, сплошная (100%) 1200 м, кучево-дождевые облака";"1.0";"-14.0";
"25.11.2018 08:00";"-10.0";"746.0";"756.2";"79";"Ветер, дующий с запада";"11";"16";"Низовая (метель, буря) снег";"";"Рассеянная (40-50%) 480 м, сплошная (100%) 1200 м, кучево-дождевые облака";"5.0";"-13.0";
"25.11.2018 07:30";"-10.0";"745.2";"755.4";"79";"Ветер, дующий с западо-юго-запада";"11";"18";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Рассеянная (40-50%) 390 м, сплошная (100%) 1050 м, кучево-дождевые облака";"1.4";"-13.0";
"25.11.2018 07:00";"-10.0";"744.4";"754.6";"85";"Ветер, дующий с запада";"12";"";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"1.6";"-12.0";
"25.11.2018 06:30";"-9.0";"743.7";"753.9";"79";"Ветер, дующий с западо-юго-запада";"15";"20";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"1.4";"-12.0";
"25.11.2018 06:00";"-7.0";"742.2";"752.3";"79";"Ветер, дующий с запада";"12";"17";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"1.4";"-10.0";
"25.11.2018 05:30";"-7.0";"741.5";"751.6";"93";"Ветер, дующий с запада";"10";"";"Слабый(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 990 м, кучево-дождевые облака";"2.1";"-8.0";
"25.11.2018 05:00";"-7.0";"740.7";"750.8";"86";"Ветер, дующий с запада";"12";"";"Слабый(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"7.0";"-9.0";
"25.11.2018 04:30";"-6.0";"740.1";"750.1";"80";"Ветер, дующий с запада";"15";"20";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"1.1";"-9.0";
"25.11.2018 04:00";"-6.0";"739.3";"749.3";"86";"Ветер, дующий с запада";"11";"";"Слабый(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 690 м, кучево-дождевые облака";"2.5";"-8.0";
"25.11.2018 03:30";"-7.0";"737.8";"747.8";"86";"Ветер, дующий с запада";"13";"18";"Ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 690 м, кучево-дождевые облака";"1.6";"-9.0";
"25.11.2018 03:00";"-6.0";"736.3";"746.3";"86";"Ветер, дующий с запада";"13";"19";"Ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 690 м, кучево-дождевые облака";"1.6";"-8.0";
"25.11.2018 02:30";"-5.0";"734.8";"744.7";"80";"Ветер, дующий с запада";"11";"";"Слабый(ая)(ые) ливень (ливни), снег, поземок, снег";"";"Сплошная (100%) 690 м, кучево-дождевые облака";"5.0";"-8.0";
"25.11.2018 02:00";"-4.0";"733.4";"743.2";"80";"Ветер, дующий с запада";"13";"18";"Сильный(ая)(ые) ливень (ливни), снег,низовая (метель, буря) снег";"";"Сплошная (100%) 690 м, кучево-дождевые облака";"1.5";"-7.0";
"25.11.2018 01:30";"-4.0";"732.1";"741.9";"86";"Ветер, дующий с запада";"12";"";"Слабый(ая)(ые) ливень (ливни), снег, поземок, снег";"";"Сплошная (100%) 480 м, кучево-дождевые облака";"2.1";"-6.0";
"25.11.2018 01:00";"-4.0";"731.4";"741.2";"86";"Ветер, дующий с запада";"12";"";"Слабый(ая)(ые) ливень (ливни), снег, поземок, снег";"";"Разорванная (60-90%) 480 м, кучево-дождевые облака";"5.0";"-6.0";
"25.11.2018 00:30";"-4.0";"729.8";"739.6";"86";"Ветер, дующий с запада";"9";"";"Поземок, снег";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-6.0";
"25.11.2018 00:00";"-4.0";"729.1";"738.9";"86";"Ветер, дующий с запада";"10";"";"Слабый(ая)(ые) снег, поземок, снег";"";"Незначительная (10-30%) 330 м, сплошная (100%) 600 м";"8.0";"-6.0";
"24.11.2018 23:30";"-4.0";"728.3";"738.1";"93";"Ветер, дующий с запада";"9";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 330 м, сплошная (100%) 900 м";"8.0";"-5.0";
"24.11.2018 23:00";"-3.0";"727.7";"737.4";"86";"Ветер, дующий с запада";"8";"";"Слабый(ая)(ые) снег";"";"Незначительная (10-30%) 330 м, сплошная (100%) 900 м";"5.0";"-5.0";
"24.11.2018 22:30";"-3.0";"727.7";"737.4";"86";"Ветер, дующий с запада";"8";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 210 м, сплошная (100%) 780 м";"4.5";"-5.0";
"24.11.2018 22:00";"-3.0";"726.9";"736.6";"93";"Ветер, дующий с запада";"7";"";"Снег";"";"Незначительная (10-30%) 210 м, сплошная (100%) 780 м";"1.5";"-4.0";
"24.11.2018 21:30";"-3.0";"727.7";"737.4";"93";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Незначительная (10-30%) 300 м, сплошная (100%) 900 м";"4.1";"-4.0";
"24.11.2018 21:00";"-3.0";"727.7";"737.4";"100";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 480 м";"2.9";"-3.0";
"24.11.2018 20:30";"-3.0";"727.7";"737.4";"100";"Ветер, дующий с юга";"2";"";"Снег";"";"Сплошная (100%) 420 м";"1.7";"-3.0";
"24.11.2018 20:00";"-3.0";"728.4";"738.1";"100";"Ветер, дующий с юго-запада";"2";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 300 м";"0.8";"-3.0";
"24.11.2018 19:30";"-3.0";"729.2";"738.9";"100";"Ветер, дующий с юга";"2";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 270 м";"0.9";"-3.0";
"24.11.2018 19:00";"-3.0";"729.8";"739.6";"93";"Ветер, дующий с юго-востока";"3";"";"Снег";"";"Сплошная (100%) 390 м";"1.1";"-4.0";
"24.11.2018 18:30";"-3.0";"730.6";"740.4";"93";"Ветер, дующий с юго-востока";"5";"";"Снег";"";"Сплошная (100%) 330 м";"1.3";"-4.0";
"24.11.2018 18:00";"-3.0";"731.4";"741.2";"93";"Ветер, дующий с юго-востока";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 240 м";"7.0";"-4.0";
"24.11.2018 17:30";"-3.0";"732.1";"741.9";"93";"Ветер, дующий с юго-востока";"6";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 270 м";"2.0";"-4.0";
"24.11.2018 17:00";"-3.0";"733.4";"743.2";"93";"Ветер, дующий с юго-востока";"5";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 240 м";"0.9";"-4.0";
"24.11.2018 16:30";"-3.0";"734.2";"744.0";"93";"Ветер, дующий с юго-востока";"6";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 240 м";"0.6";"-4.0";
"24.11.2018 16:00";"-3.0";"734.9";"744.7";"93";"Ветер, дующий с юго-востока";"7";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 240 м";"0.6";"-4.0";
"24.11.2018 15:30";"-3.0";"735.7";"745.5";"93";"Ветер, дующий с юго-востока";"6";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 180 м";"0.5";"-4.0";
"24.11.2018 15:00";"-3.0";"737.1";"747.0";"93";"Ветер, дующий с юго-востока";"6";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 450 м, кучево-дождевые облака";"1.0";"-4.0";
"24.11.2018 14:30";"-3.0";"737.9";"747.8";"86";"Ветер, дующий с юго-востока";"7";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 570 м, кучево-дождевые облака";"1.5";"-5.0";
"24.11.2018 14:00";"-3.0";"739.4";"749.3";"86";"Ветер, дующий с юго-юго-востока";"7";"";"Ливень (ливни), снег";"";"Сплошная (100%) 570 м, кучево-дождевые облака";"2.0";"-5.0";
"24.11.2018 13:30";"-3.0";"740.2";"750.1";"80";"Ветер, дующий с юго-юго-востока";"6";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1050 м";"10.0 и более";"-6.0";
"24.11.2018 13:00";"-3.0";"740.9";"750.8";"80";"Ветер, дующий с юго-юго-востока";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1050 м";"10.0 и более";"-6.0";
"24.11.2018 12:30";"-3.0";"741.7";"751.6";"86";"Ветер, дующий с юго-юго-востока";"7";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"-5.0";
"24.11.2018 12:00";"-3.0";"742.4";"752.3";"86";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"-5.0";
"24.11.2018 11:30";"-4.0";"743.1";"753.1";"86";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"-6.0";
"24.11.2018 11:00";"-4.0";"743.1";"753.1";"86";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"-6.0";
"24.11.2018 10:30";"-4.0";"743.9";"753.9";"86";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"-6.0";
"24.11.2018 10:00";"-4.0";"744.6";"754.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Рассеянная (40-50%) 510 м, кучево-дождевые облака";"10.0 и более";"-6.0";
"24.11.2018 09:30";"-4.0";"744.6";"754.6";"86";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Рассеянная (40-50%) 510 м, кучево-дождевые облака";"10.0 и более";"-6.0";
"24.11.2018 09:00";"-4.0";"745.4";"755.4";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 510 м, кучево-дождевые облака";"10.0 и более";"-6.0";
"24.11.2018 08:30";"-4.0";"746.2";"756.2";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 510 м, кучево-дождевые облака";"10.0 и более";"-5.0";
"24.11.2018 08:00";"-4.0";"746.2";"756.2";"86";"Ветер, дующий с юго-юго-востока";"6";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 510 м, кучево-дождевые облака";"10.0 и более";"-6.0";
"24.11.2018 07:30";"-5.0";"746.8";"756.9";"93";"Ветер, дующий с юго-юго-востока";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 510 м, кучево-дождевые облака";"10.0 и более";"-6.0";
"24.11.2018 07:00";"-5.0";"746.8";"756.9";"93";"Ветер, дующий с юго-юго-востока";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 630 м, кучево-дождевые облака";"8.0";"-6.0";
"24.11.2018 06:30";"-6.0";"747.6";"757.7";"93";"Ветер, дующий с юго-востока";"3";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 1020 м, кучево-дождевые облака";"4.7";"-7.0";
"24.11.2018 06:00";"-6.0";"747.6";"757.7";"93";"Ветер, дующий с юго-востока";"3";"";"Слабый(ая)(ые) ливень (ливни), снег, дым";"";"Сплошная (100%) 990 м, кучево-дождевые облака";"2.8";"-7.0";
"24.11.2018 05:30";"-7.0";"748.1";"758.2";"93";"Ветер, дующий с юго-востока";"3";"";"Ливень (ливни), снег, дым";"";"Сплошная (100%) 780 м, кучево-дождевые облака";"2.0";"-8.0";
"24.11.2018 05:00";"-8.0";"748.8";"759.0";"93";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) ливень (ливни), снег, дым";"";"Сплошная (100%) 1440 м, кучево-дождевые облака";"3.7";"-9.0";
"24.11.2018 04:30";"-9.0";"748.8";"759.0";"93";"Ветер, дующий с востоко-юго-востока";"1";"";"Слабый(ая)(ые) ливень (ливни), снег, дым";"";"Сплошная (100%) 930 м, кучево-дождевые облака";"2.8";"-10.0";
